dataset,poisoning_rate,defense,metric,n,mean,std,sem,ci95_lower,ci95_upper
MalMem,0.05,E1_No_Defense,macro_precision,3,0.7905157637691183,0.004101867047134516,0.0023682140438431687,0.7803261611487454,0.8007053663894911
MalMem,0.05,E1_No_Defense,macro_recall,3,0.7891233171467507,0.003862013110566794,0.0022297343089996025,0.7795295447355175,0.7987170895579838
MalMem,0.05,E1_No_Defense,poison_removal_rate,3,0.0,0.0,0.0,0.0,0.0
MalMem,0.05,E1_No_Defense,retention,3,1.0,0.0,0.0,1.0,1.0
MalMem,0.05,E2_Integrity_Only,accuracy,3,0.9143895119254463,0.0002735825000109401,0.0001579529300268871,0.9137098953198941,0.9150691285309984
MalMem,0.05,E2_Integrity_Only,balanced_accuracy,3,0.7895514519490646,0.00064471828895968,0.0003722282776823462,0.7879498829340047,0.7911530209641245
MalMem,0.05,E2_Integrity_Only,macro_f1,3,0.7894909860019568,0.0006696960800730734,0.00038664921210542614,0.7878273687140359,0.7911546032898776
MalMem,0.05,E2_Integrity_Only,macro_precision,3,0.7895533867133911,0.0007248398618896446,0.0004184864893813575,0.7877527846774912,0.7913539887492911
MalMem,0.05,E2_Integrity_Only,macro_recall,3,0.7895514519490646,0.00064471828895968,0.0003722282776823462,0.7879498829340047,0.7911530209641245
MalMem,0.05,E2_Integrity_Only,poison_removal_rate,3,0.9532690246516614,0.0039293253547316755,0.0022685970512879546,0.9435080393562357,0.9630300099470871
MalMem,0.05,E2_Integrity_Only,retention,3,0.9474530486236171,0.00042175447159142687,0.00024350005770523868,0.9464053524356375,0.9485007448115967
MalMem,0.05,E3_Anomaly_Only,accuracy,3,0.9063865634707525,0.001688939602205563,0.0009751097339784013,0.9021910049120451,0.91058212202946
MalMem,0.05,E3_Anomaly_Only,balanced_accuracy,3,0.7737949743142054,0.004197931277491232,0.002423676753099112,0.7633667349164532,0.7842232137119576
MalMem,0.05,E3_Anomaly_Only,macro_f1,3,0.7732318322621986,0.004140898411110536,0.0023907488123415615,0.7629452703586319,0.7835183941657653
MalMem,0.05,E3_Anomaly_Only,macro_precision,3,0.7726825674455089,0.004101635090767684,0.0023680801237723377,0.7624935410366944,0.7828715938543234
MalMem,0.05,E3_Anomaly_Only,macro_recall,3,0.7737949743142054,0.004197931277491232,0.002423676753099112,0.7633667349164532,0.7842232137119576
MalMem,0.05,E3_Anomaly_Only,poison_removal_rate,3,0.08788853161843513,0.003172271937180848,0.0018315120568740584,0.0800081712673569,0.09576889196951335
MalMem,0.05,E3_Anomaly_Only,retention,3,0.9507117742903697,0.0001586339999459091,9.15873825713977e-05,0.9503177055887383,0.9511058429920011
MalMem,0.05,E4_PoisonShield,accuracy,3,0.9105459906281261,0.0003975061567562594,0.00022950028660775995,0.909558530593475,0.9115334506627772
MalMem,0.05,E4_PoisonShield,balanced_accuracy,3,0.7804285986836454,0.0010236718256900184,0.0005910172041239678,0.7778856568969925,0.7829715404702984
MalMem,0.05,E4_PoisonShield,macro_f1,3,0.7810518349579016,0.0008538555506891661,0.0004929737320394462,0.7789307401840474,0.7831729297317559
MalMem,0.05,E4_PoisonShield,macro_precision,3,0.7819152232019974,0.000735161148593866,0.000424445487038423,0.7800889816685617,0.783741464735433
MalMem,0.05,E4_PoisonShield,macro_recall,3,0.7804285986836454,0.0010236718256900184,0.0005910172041239678,0.7778856568969925,0.7829715404702984
MalMem,0.05,E4_PoisonShield,poison_removal_rate,3,0.9541264737406218,0.004740266749731167,0.0027367942839879216,0.9423509983438584,0.9659019491373851
MalMem,0.05,E4_PoisonShield,retention,3,0.9348362061572764,0.000428243382974004,0.0002472464324387172,0.9337723906198231,0.9359000216947296
MalMem,0.1,E1_No_Defense,accuracy,3,0.917180013689254,0.0024991195253632184,0.001442867330705504,0.9109718566301276,0.9233881707483803
MalMem,0.1,E1_No_Defense,balanced_accuracy,3,0.796293082673027,0.006157136088192622,0.00355482417795517,0.7809979087199688,0.8115882566260852
MalMem,0.1,E1_No_Defense,macro_f1,3,0.7980955252306415,0.005936030340737365,0.0034271687151425038,0.7833496084031217,0.8128414420581613
MalMem,0.1,E1_No_Defense,macro_precision,3,0.8001163563362993,0.00576864120480108,0.003330526552450271,0.785786257173896,0.8144464554987025
MalMem,0.1,E1_No_Defense,macro_recall,3,0.796293082673027,0.006157136088192622,0.00355482417795517,0.7809979087199688,0.8115882566260852
MalMem,0.1,E1_No_Defense,poison_removal_rate,3,0.0,0.0,0.0,0.0,0.0
MalMem,0.1,E1_No_Defense,retention,3,1.0,0.0,0.0,1.0,1.0
MalMem,0.1,E2_Integrity_Only,accuracy,3,0.9173379666192808,0.0013800181563818536,0.0007967538540736343,0.9139098114741124,0.9207661217644492
MalMem,0.1,E2_Integrity_Only,balanced_accuracy,3,0.7967744006700487,0.0033183310281943157,0.001915839312388276,0.7885312094228399,0.8050175919172574
MalMem,0.1,E2_Integrity_Only,macro_f1,3,0.7967652394885231,0.0032851681536293174,0.0018966927178310723,0.7886044293886513,0.8049260495883949
MalMem,0.1,E2_Integrity_Only,macro_precision,3,0.7968806659636328,0.003328279854993091,0.0019215832702186699,0.7886127604605856,0.8051485714666801
