dataset,poisoning_rate,seed,metric,comparison,poisonshield_value,baseline_value,absolute_difference
Android,0.1,2026,macro_precision,PoisonShield_vs_No_Defense,0.9117635164451204,0.9113341508371152,0.0004293656080052166
Android,0.1,2026,macro_precision,PoisonShield_vs_Integrity_Only,0.9117635164451204,0.915427468353426,-0.003663951908305596
Android,0.1,2026,macro_precision,PoisonShield_vs_Anomaly_Only,0.9117635164451204,0.9227936994475304,-0.011030183002409988
Android,0.1,2026,macro_recall,PoisonShield_vs_No_Defense,0.9114747835561772,0.9040813655009377,0.00739341805523952
Android,0.1,2026,macro_recall,PoisonShield_vs_Integrity_Only,0.9114747835561772,0.9091449843033385,0.0023297992528387157
Android,0.1,2026,macro_recall,PoisonShield_vs_Anomaly_Only,0.9114747835561772,0.9093940853427916,0.0020806982133855234
Android,0.1,2026,poison_removal_rate,PoisonShield_vs_No_Defense,0.953781512605042,0.0,0.953781512605042
Android,0.1,2026,poison_removal_rate,PoisonShield_vs_Integrity_Only,0.953781512605042,0.953781512605042,0.0
Android,0.1,2026,poison_removal_rate,PoisonShield_vs_Anomaly_Only,0.953781512605042,0.0357142857142857,0.9180672268907563
Android,0.1,2026,retention,PoisonShield_vs_No_Defense,0.887954593231028,1.0,-0.11204540676897201
Android,0.1,2026,retention,PoisonShield_vs_Integrity_Only,0.887954593231028,0.894471305444608,-0.006516712213579967
Android,0.1,2026,retention,PoisonShield_vs_Anomaly_Only,0.887954593231028,0.9520706327517344,-0.06411603952070644
Android,0.2,42,accuracy,PoisonShield_vs_No_Defense,0.9226579520697168,0.920479302832244,0.002178649237472796
Android,0.2,42,accuracy,PoisonShield_vs_Integrity_Only,0.9226579520697168,0.9215686274509804,0.0010893246187363426
Android,0.2,42,accuracy,PoisonShield_vs_Anomaly_Only,0.9226579520697168,0.9226579520697168,0.0
Android,0.2,42,balanced_accuracy,PoisonShield_vs_No_Defense,0.9070424802600612,0.905052155134291,0.0019903251257701315
Android,0.2,42,balanced_accuracy,PoisonShield_vs_Integrity_Only,0.9070424802600612,0.9069309415840257,0.00011153867603552747
Android,0.2,42,balanced_accuracy,PoisonShield_vs_Anomaly_Only,0.9070424802600612,0.9073888118038737,-0.00034633154381247255
Android,0.2,42,macro_f1,PoisonShield_vs_No_Defense,0.9093600760014574,0.9120039195721198,-0.0026438435706623853
Android,0.2,42,macro_f1,PoisonShield_vs_Integrity_Only,0.9093600760014574,0.9086597951444612,0.0007002808569962493
Android,0.2,42,macro_f1,PoisonShield_vs_Anomaly_Only,0.9093600760014574,0.9111936027289927,-0.0018335267275353395
Android,0.2,42,macro_precision,PoisonShield_vs_No_Defense,0.9137501772754024,0.9213909416719628,-0.007640764396560362
Android,0.2,42,macro_precision,PoisonShield_vs_Integrity_Only,0.9137501772754024,0.911288674479144,0.0024615027962584524
Android,0.2,42,macro_precision,PoisonShield_vs_Anomaly_Only,0.9137501772754024,0.9179397062789418,-0.004189529003539416
Android,0.2,42,macro_recall,PoisonShield_vs_No_Defense,0.9070424802600612,0.905052155134291,0.0019903251257701315
Android,0.2,42,macro_recall,PoisonShield_vs_Integrity_Only,0.9070424802600612,0.9069309415840257,0.00011153867603552747
Android,0.2,42,macro_recall,PoisonShield_vs_Anomaly_Only,0.9070424802600612,0.9073888118038737,-0.00034633154381247255
Android,0.2,42,poison_removal_rate,PoisonShield_vs_No_Defense,0.950467289719626,0.0,0.950467289719626
Android,0.2,42,poison_removal_rate,PoisonShield_vs_Integrity_Only,0.950467289719626,0.950467289719626,0.0
Android,0.2,42,poison_removal_rate,PoisonShield_vs_Anomaly_Only,0.950467289719626,0.0355140186915887,0.9149532710280374
Android,0.2,42,retention,PoisonShield_vs_No_Defense,0.7856475425154177,1.0,-0.21435245748458231
Android,0.2,42,retention,PoisonShield_vs_Integrity_Only,0.7856475425154177,0.7910670902635022,-0.005419547748084508
Android,0.2,42,retention,PoisonShield_vs_Anomaly_Only,0.7856475425154177,0.9534666417492056,-0.1678190992337879
Android,0.2,123,accuracy,PoisonShield_vs_No_Defense,0.920479302832244,0.9226579520697168,-0.002178649237472796
Android,0.2,123,accuracy,PoisonShield_vs_Integrity_Only,0.920479302832244,0.9226579520697168,-0.002178649237472796
Android,0.2,123,accuracy,PoisonShield_vs_Anomaly_Only,0.920479302832244,0.9161220043572984,0.004357298474945592
Android,0.2,123,balanced_accuracy,PoisonShield_vs_No_Defense,0.909323533653837,0.9049363986007652,0.004387135053071756
Android,0.2,123,balanced_accuracy,PoisonShield_vs_Integrity_Only,0.909323533653837,0.9073990008715352,0.0019245327823017577
Android,0.2,123,balanced_accuracy,PoisonShield_vs_Anomaly_Only,0.909323533653837,0.8973868795587887,0.011936654095048294
Android,0.2,123,macro_f1,PoisonShield_vs_No_Defense,0.9101960118420432,0.9106265384959904,-0.00043052665394716083
Android,0.2,123,macro_f1,PoisonShield_vs_Integrity_Only,0.9101960118420432,0.9093111397342292,0.000884872107814072
Android,0.2,123,macro_f1,PoisonShield_vs_Anomaly_Only,0.9101960118420432,0.9024071782022446,0.0077888336397986535
Android,0.2,123,macro_precision,PoisonShield_vs_No_Defense,0.9128630899262667,0.9188832029812828,-0.006020113055016041
Android,0.2,123,macro_precision,PoisonShield_vs_Integrity_Only,0.9128630899262667,0.9121310141242284,0.0007320758020383789
Android,0.2,123,macro_precision,PoisonShield_vs_Anomaly_Only,0.9128630899262667,0.9106026825799932,0.0022604073462735297
Android,0.2,123,macro_recall,PoisonShield_vs_No_Defense,0.909323533653837,0.9049363986007652,0.004387135053071756
Android,0.2,123,macro_recall,PoisonShield_vs_Integrity_Only,0.909323533653837,0.9073990008715352,0.0019245327823017577
Android,0.2,123,macro_recall,PoisonShield_vs_Anomaly_Only,0.909323533653837,0.8973868795587887,0.011936654095048294
