poisoning_rate,seed,defense,metric,android_minus_malmem
0.05,123,E2_Integrity_Only,retention,-0.0022108988604051527
0.05,123,E3_Anomaly_Only,retention,-0.00031607515052112234
0.05,123,E4_PoisonShield,retention,0.0035476666562753723
0.05,2026,E1_No_Defense,retention,0.0
0.05,2026,E2_Integrity_Only,retention,0.0010664110660103532
0.05,2026,E3_Anomaly_Only,retention,0.0016491032566587904
0.05,2026,E4_PoisonShield,retention,0.006824976582690989
0.1,42,E1_No_Defense,retention,0.0
0.1,42,E2_Integrity_Only,retention,4.009247887459821e-06
0.1,42,E3_Anomaly_Only,retention,0.0031780974967235975
0.1,42,E4_PoisonShield,retention,0.0055489591899617885
0.1,123,E1_No_Defense,retention,0.0
0.1,123,E2_Integrity_Only,retention,-0.0037951309938807354
0.1,123,E3_Anomaly_Only,retention,0.0019046040966660405
0.1,123,E4_PoisonShield,retention,0.0016919346312498362
0.1,2026,E1_No_Defense,retention,0.0
0.1,2026,E2_Integrity_Only,retention,0.0003421886667387408
0.1,2026,E3_Anomaly_Only,retention,0.0041987136706024275
0.1,2026,E4_PoisonShield,retention,0.005676922085794511
0.2,42,E1_No_Defense,retention,0.0
0.2,42,E2_Integrity_Only,retention,0.002489935954885003
0.2,42,E3_Anomaly_Only,retention,0.009795515713350023
0.2,42,E4_PoisonShield,retention,0.007550808506860074
0.2,123,E1_No_Defense,retention,0.0
0.2,123,E2_Integrity_Only,retention,-0.002593680544985877
0.2,123,E3_Anomaly_Only,retention,0.006068853552083975
0.2,123,E4_PoisonShield,retention,0.0021746736615457785
0.2,2026,E1_No_Defense,retention,0.0
0.2,2026,E2_Integrity_Only,retention,-0.0004674959276743662
0.2,2026,E3_Anomaly_Only,retention,0.008742036695532751
0.2,2026,E4_PoisonShield,retention,0.004192533521233832
0.01,42,E1_No_Defense,poison_removal_rate,0.0
0.01,42,E2_Integrity_Only,poison_removal_rate,0.040502575308256406
0.01,42,E3_Anomaly_Only,poison_removal_rate,-0.040736694240674304
0.01,42,E4_PoisonShield,poison_removal_rate,0.040502575308256406
0.01,123,E1_No_Defense,poison_removal_rate,0.0
0.01,123,E2_Integrity_Only,poison_removal_rate,0.020368347120337194
0.01,123,E3_Anomaly_Only,poison_removal_rate,-0.0908381457780553
